"","recRank","college","recCommits","year","conference"
"120",45,"Oregon State",17,"2016","Pac-12"
"121",46,"Oklahoma State",23,"2016","Big 12"
"122",47,"Arizona",18,"2016","Pac-12"
"123",48,"Vanderbilt",15,"2016","SEC"
"124",49,"Iowa",17,"2016","Big Ten"
"125",50,"Wake Forest",25,"2016","ACC"
"126",51,"Missouri",26,"2016","SEC"
"127",52,"Northwestern",25,"2016","Big Ten"
"128",53,"Georgia Tech",24,"2016","ACC"
"129",54,"Iowa State",25,"2016","Big 12"
"130",55,"Minnesota",25,"2016","Big Ten"
"131",56,"Washington State",21,"2016","Pac-12"
"132",57,"BYU",21,"2016","Independent"
"133",58,"Indiana",24,"2016","Big Ten"
"134",59,"Temple",24,"2016","American"
"135",60,"Virginia",20,"2016","ACC"
"136",61,"Purdue",24,"2016","Big Ten"
"137",62,"Syracuse",24,"2016","ACC"
"138",63,"South Florida",26,"2016","American"
"139",64,"Rutgers",25,"2016","Big Ten"
"140",65,"Marshall",26,"2016","C-USA"
"141",66,"UCF",22,"2016","American"
"142",67,"SMU",19,"2016","American"
"143",68,"Boise State",23,"2016","Mountain West"
"144",69,"Western Michigan",21,"2016","MAC"
"145",70,"Kansas State",25,"2016","Big 12"
"146",71,"Illinois",27,"2016","Big Ten"
"147",72,"Memphis",21,"2016","American"
"148",73,"Colorado State",22,"2016","Mountain West"
"149",74,"Boston College",30,"2016","ACC"
"150",75,"Cincinnati",21,"2016","American"
"151",1,"Alabama",24,"2017","SEC"
"152",2,"Ohio State",21,"2017","Big Ten"
"153",3,"Georgia",24,"2017","SEC"
"154",4,"Florida State",26,"2017","ACC"
"155",5,"USC",27,"2017","Pac-12"
"156",6,"Michigan",27,"2017","Big Ten"
"157",7,"LSU",27,"2017","SEC"
"158",8,"Oklahoma",30,"2017","Big 12"
"159",9,"Auburn",28,"2017","SEC"
"160",10,"Clemson",25,"2017","ACC"
"161",11,"Texas A&M",19,"2017","SEC"
"162",12,"Miami",25,"2017","ACC"
"163",13,"Florida",24,"2017","SEC"
"164",14,"Stanford",25,"2017","Pac-12"
"165",15,"Tennessee",23,"2017","SEC"
"166",16,"Notre Dame",28,"2017","Independent"
"167",17,"Penn State",24,"2017","Big Ten"
"168",18,"UCLA",23,"2017","Pac-12"
"169",19,"South Carolina",22,"2017","SEC"
"170",20,"Maryland",21,"2017","Big Ten"
"171",21,"Nebraska",31,"2017","Big Ten"
"172",22,"Washington",24,"2017","Pac-12"
"173",23,"Oregon",22,"2017","Pac-12"
"174",24,"Mississippi State",19,"2017","SEC"
"175",25,"Virginia Tech",24,"2017","ACC"
"176",26,"Arkansas",23,"2017","SEC"
"177",27,"Colorado",22,"2017","Pac-12"
"178",28,"North Carolina",24,"2017","ACC"
"179",29,"Louisville",20,"2017","ACC"
"180",30,"Kentucky",25,"2017","SEC"
"181",31,"Pittsburgh",20,"2017","ACC"
"182",32,"Michigan State",20,"2017","Big Ten"
"183",33,"Texas",22,"2017","Big 12"
"184",34,"Duke",22,"2017","ACC"
"185",35,"Oklahoma State",20,"2017","Big 12"
"186",36,"Ole Miss",23,"2017","SEC"
"187",37,"TCU",21,"2017","Big 12"
"188",38,"Arizona State",21,"2017","Pac-12"
"189",39,"Baylor",25,"2017","Big 12"
"190",40,"Wisconsin",14,"2017","Big Ten"
"191",41,"Utah",27,"2017","Pac-12"
"192",42,"Georgia Tech",24,"2017","ACC"
"193",43,"Iowa",23,"2017","Big Ten"
"194",44,"Northwestern",18,"2017","Big Ten"
"195",45,"Arizona",17,"2017","Pac-12"
"196",46,"Washington State",23,"2017","Pac-12"
"197",47,"Texas Tech",18,"2017","Big 12"
"198",48,"Virginia",15,"2017","ACC"
"199",49,"Syracuse",17,"2017","ACC"
